"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Name Basiswert 1","Name Basiswert 2"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","23 Allach - Untermenzing","1105.7","34277","31","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","24 Feldmoching - Hasenbergl","1410.7","62069","44","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","25 Laim","576.9","57111","99","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","Stadt München","391","1542211","3944","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","01 Altstadt - Lehel","34.8","21100","606","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","02 Ludwigsvorstadt - Isarvorstadt","173.9","51644","297","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","03 Maxvorstadt","191.1","51402","269","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","04 Schwabing - West","407.9","68527","168","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","05 Au - Haidhausen","371.9","61356","165","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","06 Sendling","426.9","40983","96","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","07 Sendling - Westpark","946.7","59643","63","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","08 Schwanthalerhöhe","661","29743","45","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","09 Neuhausen - Nymphenburg","293.2","98814","337","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","10 Moosach","661.3","54223","82","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","11 Milbertshofen - Am Hart","1532.5","75094","49","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","12 Schwabing - Freimann","324.7","77936","240","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","13 Bogenhausen","323.4","87950","272","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","14 Berg am Laim","1213.1","46098","38","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","15 Trudering - Riem","851.2","73206","86","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","16 Ramersdorf - Perlach","796.8","116327","146","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","17 Obergiesing - Fasangarten","467.7","54256","116","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","18 Untergiesing - Harlaching","435.9","53184","122","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","486","96714","199","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","20 Hadern","756","49898","66","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","21 Pasing - Obermenzing","298.5","74625","250","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","22 Aubing - Lochhausen - Langwied","956.3","47813","50","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","23 Allach - Untermenzing","1042.3","33355","32","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","24 Feldmoching - Hasenbergl","1404","61774","44","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2018","25 Laim","533.5","56546","106","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","Stadt München","390.5","1526056","3908","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","01 Altstadt - Lehel","34.9","20926","599","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","02 Ludwigsvorstadt - Isarvorstadt","181.2","51632","285","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","03 Maxvorstadt","195.8","51311","262","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","04 Schwabing - West","418.8","68265","163","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","05 Au - Haidhausen","383.3","60937","159","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","06 Sendling","410.9","40682","99","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","07 Sendling - Westpark","989.8","59386","60","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","08 Schwanthalerhöhe","671.3","29535","44","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","09 Neuhausen - Nymphenburg","294.1","98520","335","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","10 Moosach","662.5","53662","81","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","11 Milbertshofen - Am Hart","1494.6","74731","50","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","12 Schwabing - Freimann","314.2","76341","243","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","13 Bogenhausen","297.5","85971","289","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","14 Berg am Laim","1199.5","45582","38","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","15 Trudering - Riem","857.2","72006","84","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","16 Ramersdorf - Perlach","795","114478","144","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","17 Obergiesing - Fasangarten","477.3","53937","113","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","18 Untergiesing - Harlaching","414.2","52600","127","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","505.6","95554","189","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","20 Hadern","800.4","49626","62","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","21 Pasing - Obermenzing","300","74098","247","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","22 Aubing - Lochhausen - Langwied","859","46385","54","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","23 Allach - Untermenzing","1054.1","32677","31","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","24 Feldmoching - Hasenbergl","1486.2","60933","41","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2017","25 Laim","516.3","56281","109","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","Stadt München","398.1","1542860","3876","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","01 Altstadt - Lehel","37.1","21454","579","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","02 Ludwigsvorstadt - Isarvorstadt","194.1","54915","283","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","03 Maxvorstadt","207.1","53443","258","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","04 Schwabing - West","442.1","69407","157","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","05 Au - Haidhausen","342.5","61999","181","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","06 Sendling","420.7","41230","98","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","07 Sendling - Westpark","924.6","59174","64","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","08 Schwanthalerhöhe","688.2","30282","44","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","09 Neuhausen - Nymphenburg","302.6","99538","329","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","10 Moosach","664.9","53859","81","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","11 Milbertshofen - Am Hart","1337.8","76255","57","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","12 Schwabing - Freimann","317.7","77188","243","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","13 Bogenhausen","300.6","87164","290","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","14 Berg am Laim","1201.5","45655","38","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","15 Trudering - Riem","860.8","71448","83","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","16 Ramersdorf - Perlach","769.6","113898","148","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","17 Obergiesing - Fasangarten","629.7","54784","87","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","18 Untergiesing - Harlaching","425.6","54050","127","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","503.7","96200","191","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","20 Hadern","829","50567","61","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","21 Pasing - Obermenzing","305.1","74432","244","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","22 Aubing - Lochhausen - Langwied","859.8","45571","53","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","23 Allach - Untermenzing","1040.3","32248","31","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","24 Feldmoching - Hasenbergl","1470.6","61764","42","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2016","25 Laim","526.5","56335","107","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","Stadt München","397.1","1521678","3832","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","01 Altstadt - Lehel","37.5","21122","563","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","02 Ludwigsvorstadt - Isarvorstadt","190.3","54049","284","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","03 Maxvorstadt","213.3","53743","252","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","04 Schwabing - West","431","68527","159","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","05 Au - Haidhausen","339.8","61495","181","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","06 Sendling","421.4","40879","97","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","07 Sendling - Westpark","884.8","58398","66","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","08 Schwanthalerhöhe","723.4","30381","42","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","09 Neuhausen - Nymphenburg","292","98702","338","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","10 Moosach","739.7","53261","72","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","11 Milbertshofen - Am Hart","1424.3","75488","53","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","12 Schwabing - Freimann","310","75020","242","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","13 Bogenhausen","300.5","85947","286","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","14 Berg am Laim","1154.7","45035","39","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","15 Trudering - Riem","872.9","69830","80","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","16 Ramersdorf - Perlach","780.4","112371","144","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","17 Obergiesing - Fasangarten","618.2","54402","88","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","18 Untergiesing - Harlaching","434","53377","123","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","517.1","93602","181","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","20 Hadern","785.3","50257","64","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","21 Pasing - Obermenzing","305.5","73320","240","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2015","22 Aubing - Lochhausen - Langwied","873.6","43682","50","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
